"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20230707015829I","07-JUL-23","RONKONKOMA","NY","LONG ISLAND MAC ARTHUR","","","","","","","","","","","","0","0","","","","","","1208","939","37",""
"20230707017459A","07-JUL-23","CHESTERFIELD","VA","CHESTERFIELD COUNTY","","","","","","","","","","","","0","0","","","","","","237","","",""
"20230708006679I","08-JUL-23","WATKINS","CO","","","","","","","","","","","","","0","0","","","","","","211","","",""
"20230708008169A","08-JUL-23","EMMETT","ID","","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","612","412","136",""
"20230708008519A","08-JUL-23","JUDITH GAP","MT","","","","","","","","","","","","","0","1","","","","","","349","239","16",""
"20230708008699A","08-JUL-23","WHITE CLOUD","MI","","","","","","","","","","","","","0","0","","","","","","250","","",""
"20230708009409A","08-JUL-23","LA GRANDE","OR","LA GRANDE/UNION COUNTY","","","","","","","","","","","","0","0","","","","","","","15","15",""
"20230708010129A","08-JUL-23","LINO LAKES","MN","","","","","","","","","","","","","0","0","","","","","","","","",""
"20230708010969A","08-JUL-23","SHERMAN","TX","","","","","","","","","","","","","1","0","","","","","","535","346","3",""
"20230708011199I","08-JUL-23","DES MOINES","IA","DES MOINES INTL","","","","","","","","","","","","0","0","","","","","","500","","",""
"20230708014549I","08-JUL-23","FAIRHOPE","AL","H L SONNY CALLAHAN","","","","","","","","","","","","0","0","","","","","","250","","",""
"20230708015179A","08-JUL-23","COQUILLE","OR","","","","","","","","","","","","","0","0","","","","","","950","","",""
"20230708015399A","08-JUL-23","CANANDAIGUA","NY","CANANDAIGUA","","","","","","","","","","","","0","1","","","","","","","","",""
"20230708017239A","08-JUL-23","MURRIETA","CA","FRENCH VALLEY","","","","","","","","","","","","6","0","","","","","","1130","","180",""
"20230708021379A","08-JUL-23","FRANKSTON","TX","AERO ESTATES","","","","","","","","","","","","0","0","","","","","","","","",""
"20230708022399A","08-JUL-23","","CA","SHELTER COVE","","","","","","","","","","","","0","1","","","","","","553","97","25",""
"20230709009169A","09-JUL-23","LA MESA","CA","","","","","","","","","","","","","0","2","","","","","","2600","455","9",""
"20230709009939A","09-JUL-23","WALDORF","MD","","","","","","","","","","ROTORCRAFT EXTERNAL LOAD OPERATIONS","","","0","3","","","","","","","","",""
"20230709010249I","09-JUL-23","EUGENE","OR","MAHLON SWEET FIELD","","","","","","","","","","","","0","0","","","","","","240","","",""
"20230709010329A","09-JUL-23","MARBLE FALLS","TX","","","","","","","","","","","","","0","0","","","","","","5034","1600","94",""
"20230709014199I","09-JUL-23","NORWOOD","MA","NORWOOD MEMORIAL","","","","","","","","","","","","0","0","","","","","","","","",""
"20230710007609I","10-JUL-23","MERRITT ISLAND","FL","MERRITT ISLAND","","","","","","","","","","","","0","0","","","","","","670","","10",""
"20230710009279A","10-JUL-23","TITUSVILLE","FL","SPACE COAST RGNL","","","","","","","","","PILOT SCHOOLS","","","0","1","","","","","","36","36","36",""
"20230710010119I","10-JUL-23","SAINT CLOUD","MN","ST CLOUD RGNL","","","","","","","","","","","","0","0","","","","","","169","1","35",""
"20230710010239A","10-JUL-23","LONG BEACH","CA","LONG BEACH /DAUGHERTY FIELD/","","","","","","","","","","","","0","1","","","","","","50","50","29",""
"20230711008779A","11-JUL-23","MC CARTHY","AK","","","","","","","","","","","","","0","0","","","","","","9379","1009","91",""
"20230711009269I","11-JUL-23","FORT PIERCE","FL","ST LUCIE COUNTY INTL","","","","","","","","","","","","0","0","","","","","","13800","405","41",""
"20230711009629A","11-JUL-23","PALM SPRINGS","CA","PALM SPRINGS INTL","","","","","","","","","","","","0","0","","","","","","802","","",""
"20230711010509A","11-JUL-23","WOODLAWN","IL","","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","5000","","",""
"20230711011649I","11-JUL-23","FORT PIERCE","FL","ST LUCIE COUNTY INTL","","","","","","","","","","","","0","0","","","","","","16600","","",""
"20230711013119A","11-JUL-23","BOELUS","NE","","","","","","","","","","","","","0","0","","","","","","3750","2600","25",""
"20230711013609A","11-JUL-23","BURLINGTON","WA","SKAGIT RGNL","","","","","","","","","","","","0","0","","","","","","626","56","3",""
"20230711014939A","11-JUL-23","MINERAL POINT","MO","WASHINGTON COUNTY","","","","","","","","","","","","0","2","","","","","","767","16","12",""
"20230711018869A","11-JUL-23","GRAY","GA","","","","","","","","","","","","","0","0","","","","","","194","","",""
"20230712006639A","12-JUL-23","CUSTER","SD","CUSTER COUNTY","","","","","","","","","","","","0","0","","","","","","2200","","",""
"20230712009029I","12-JUL-23","ANCHORAGE","AK","TED STEVENS ANCHORAGE INTL","","","","","","","","","","","","0","0","","","","","","18392","","",""
"20230712010039A","12-JUL-23","HERTFORD","NC","","","","","","","","","","","","","0","0","","","","","","2050","707","17",""
"20230712010859A","12-JUL-23","GREENWOOD","IN","GREENWOOD MUNI","","","","","","","","","","","","0","0","","","","","","","","20",""
"20230712011719A","12-JUL-23","TOGIAK","AK","","","","","","","","","","","","","0","0","","","","","","40000","","",""
"20230712013959A","12-JUL-23","ELBERTON","GA","ELBERT COUNTY-PATZ FIELD","","","","","","","","","","","","0","0","","","","","","","","",""
"20230712014079I","12-JUL-23","ARCADIA","FL","ARCADIA MUNI","","","","","","","","","","","","0","0","","","","","","1258","455","377",""
"20230712014659A","12-JUL-23","NINILCHIK","AK","","","","","","","","","","","","","0","0","","","","","","204","","",""
"20230712014669A","12-JUL-23","NINILCHIK","AK","NINILCHIK","","","","","","","","","","","","0","0","","","","","","75","","",""
"20230712015389A","12-JUL-23","CHERRY POINT","NC","CHERRY POINT MCAS /CUNNINGHAM FIELD/","","","","","","","","","","","","0","0","","","","","","","","",""
"20230712019209I","12-JUL-23","TRUFANT","MI","","","","","","","","","","","","","0","0","","","","","","","","",""
"20230712019769I","12-JUL-23","TAMPA","FL","TAMPA INTL","","","","","","","","","","","","0","1","","","","","","","","",""
"20230713008369I","13-JUL-23","ROGERS","AR","ROGERS MUNI-CARTER FIELD","","","","","","","","","","","","0","0","","","","","","9700","","",""
"20230713008809A","13-JUL-23","ATCHISON","KS","","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","2045","842","65",""
"20230713010029I","13-JUL-23","SOUTHPORT","NC","CAPE FEAR RGNL JETPORT/HOWIE FRANKLIN FLD","","","","","","","","","","","","0","0","","","","","","1250","26","53",""
"20230713010389A","13-JUL-23","OSAGE BEACH","MO","GRAND GLAIZE- OSAGE BEACH","","","","","","","","","","","","2","0","","","","","","231","27","40",""
"20230713010429I","13-JUL-23","CHARLESTON","SC","CHARLESTON EXECUTIVE","","","","","","","","","","","","0","0","","","","","","","","",""
"20230713010959A","13-JUL-23","CHICKALOON","AK","","","","","","","","","","","","","0","0","","","","","","10020","898","261",""
"20230713015519A","13-JUL-23","POCAHONTAS","IL","","","","","","","","","","AGRICULTURAL","","","0","1","","","","","","574","","",""
"20230713018419A","13-JUL-23","INDIANOLA","MS","INDIANOLA MUNI","","","","","","","","","","","","0","0","","","","","","","","",""
"20230714006699I","14-JUL-23","KISSIMMEE","FL","KISSIMMEE","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","53","52","17",""
"20230714008149I","14-JUL-23","CINCINNATI","OH","CINCINNATI/NORTHERN KENTUCKY INTL","","","","","","","ENDEAVOR AIR","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20230714008869A","14-JUL-23","BENSON","MN","","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","7000","1200","200",""
"20230714009159I","14-JUL-23","WATKINS","CO","","","","","","","","","","","","","0","0","","","","","","4100","190","28",""
"20230714009509A","14-JUL-23","ERIE","CO","","","","","","","","","","","","","0","6","","","","","","2140","","",""
"20230714009949A","14-JUL-23","CULPEPER","VA","CULPEPER RGNL","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","1150","","",""
"20230714010219A","14-JUL-23","LUMBERTON","NJ","FLYING W","","","","","","","","","","","","0","0","","","","","","1824","542","24",""
"20230714010229A","14-JUL-23","MUNCIE","IN","DELAWARE COUNTY RGNL","","","","","","","","","","","","0","0","","","","","","796","87","21",""
"20230714010309I","14-JUL-23","ERIE","CO","","","","","","","","","","","","","0","1","","","","","","842","","",""
"20230714010319A","14-JUL-23","LAFAYETTE","CO","","","","","","","","","","","","","0","4","","","","","","618","","",""
"20230714011879I","14-JUL-23","VISALIA","CA","VISALIA MUNI","","","","","","","","","","","","0","0","","","","","","1575","214","165",""
"20230714012539I","14-JUL-23","WEST JORDAN","UT","SOUTH VALLEY RGNL","","","","","","","","","","","","0","0","","","","","","34","26","20",""
"20230714014189I","14-JUL-23","TAOS","NM","TAOS RGNL","","","","","","","","","","","","0","0","","","","","","1000","","",""
"20230714015359I","14-JUL-23","BALLSTON SPA","NY","SARATOGA COUNTY","","","","","","","","","","","","0","0","","","","","","","","",""
"20230714016889I","14-JUL-23","","FL","PERRY-HOUSTON COUNTY","","","","","","","","","","","","0","0","","","","","","","","",""
"20230715008119I","15-JUL-23","OWATONNA","MN","OWATONNA DEGNER RGNL","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","150","","",""
"20230715010379A","15-JUL-23","WEST TISBURY","MA","MARTHAS VINEYARD","","","","","","","","","","","","1","1","","","","","","","","",""
"20230715015979I","15-JUL-23","ROCHESTER","MN","ROCHESTER INTL","","","","","","","","","","","","0","0","","","","","","2775","","",""
"20230716008509I","16-JUL-23","TAYLOR","TX","TAYLOR","","","","","","","","","","","","0","0","","","","","","1108","143","45",""
"20230716021369A","16-JUL-23","PRINCETON","TX","","","","","","","","","","","","","0","0","","","","","","100","30","15",""
"20230717005609I","17-JUL-23","TOKSOOK BAY","AK","TOKSOOK BAY","","","","","","","","","","","","0","0","","","","","","1263","349","123",""
"20230717008909I","17-JUL-23","CHICAGO","IL","CHICAGO O'HARE INTL","","","","","","","UNITED AIR LINES INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20230717009329I","17-JUL-23","VALPARAISO","IN","","","","","","","","","","","","","0","0","","","","","","1100","","",""
"20230717010069A","17-JUL-23","PAHRUMP","NV","","","","","","","","","","","","","0","0","","","","","","2806","","",""
"20230717010209A","17-JUL-23","CASPER","WY","CASPER/NATRONA COUNTY INTL","","","","","","","","","","","","0","1","","","","","","2050","","",""
"20230717013829A","17-JUL-23","WEST LEBANON","NH","LEBANON MUNI","","","","","","","","","","","","0","0","","","","","","6000","","",""
"20230717014319I","17-JUL-23","CRYSTAL","MN","CRYSTAL","","","","","","","","","","","","0","0","","","","","","720","550","7",""
"20230717017779I","17-JUL-23","","IL","ST LOUIS DOWNTOWN","","","","","","","","","","","","0","0","","","","","","60","10","15",""
"20230718010299I","18-JUL-23","TARBORO","NC","TARBORO-EDGECOMBE","","","","","","","","","","","","0","0","","","","","","214","140","25",""
"20230718010659A","18-JUL-23","CHELAN","WA","LAKE CHELAN","","","","","","","","","","","","0","0","","","","","","278","25","5",""
"20230718011139A","18-JUL-23","EAGLE RIVER","WI","EAGLE RIVER UNION","","","","","","","","","","","","0","0","","","","","","526","300","5",""
"20230718015689I","18-JUL-23","ATLANTA","GA","ATLANTA RGNL FALCON FIELD","","","","","","","","","","","","0","0","","","","","","","","",""
"20230718016319A","18-JUL-23","SANTA FE","NM","","","","","","","","","","","","","1","0","","","","","","5000","","",""
"20230718019779I","18-JUL-23","OXNARD","CA","POINT MUGU NAS (NAVAL BASE VENTURA CO)","","","","","","","","","","","","0","0","","","","","","5949","95","93",""
"20230719006769I","19-JUL-23","BISHOP","CA","EASTERN SIERRA RGNL","","","","","","","AMERIFLIGHT","","","","","0","0","","","","","","","","",""
"20230719008919A","19-JUL-23","FARMINGTON","UT","","","","","","","","","","","","","0","0","","","","","","17200","2800","90",""
"20230719009589A","19-JUL-23","HAMILTON","MT","RAVALLI COUNTY","","","","","","","","","","","","0","1","","","","","","151","151","12",""
"20230719009599I","19-JUL-23","LAKE CHARLES","LA","CHENNAULT INTL","","","","","","","","","","","","0","0","","","","","","","","",""
"20230719010849I","19-JUL-23","SEBRING","FL","SEBRING RGNL","","","","","","","","","","","","0","0","","","","","","127","124","23",""
"20230719012109A","19-JUL-23","GARDNER","KS","GARDNER MUNI","","","","","","","","","","","","0","1","","","","","","780","","",""
"20230719020869I","19-JUL-23","TULSA","OK","TULSA INTL","","","","","","","","","","","","0","0","","","","","","","","",""
"20230720008019A","20-JUL-23","","AK","","","","","","","","MARITIME HELICOPTERS","","","","","4","0","","","","","","2032","650","65",""
"20230720009399I","20-JUL-23","FORT MYERS","FL","PAGE FIELD","","","","","","","","","","","","0","0","","","","","","","","",""
"20230720010649A","20-JUL-23","OBERLIN","KS","","","","","","","","","","","","","0","0","","","","","","3500","900","10",""
"20230720011129A","20-JUL-23","OSHKOSH","WI","WITTMAN RGNL","","","","","","","","","","","","0","1","","","","","","728","109","30",""
"20230720013109A","20-JUL-23","ELKO","NV","ELKO RGNL","","","","","","","","","","","","0","2","","","","","","263","141","5",""
"20230720013599I","20-JUL-23","ROCHESTER","MN","ROCHESTER INTL","","","","","","","","","","","","0","0","","","","","","11075","","",""
"20230720017039A","20-JUL-23","EXCELSIOR SPRINGS","MO","MIDWEST NATIONAL AIR CENTER","","","","","","","","","","","","1","0","","","","","","","","",""
"20230720018569A","20-JUL-23","ROCK SPRINGS","WY","ROCK SPRINGS-SWEETWATER COUNTY","","","","","","","","","","","","0","2","","","","","","","","",""
"20230721008829A","21-JUL-23","TERRA ALTA","WV","","","","","","","","","","","","","0","1","","","","","","1389","178","123",""
"20230721009149A","21-JUL-23","CHOUTEAU","OK","","","","","","","","","","","","","0","1","","","","","","176","","",""
"20230721009349A","21-JUL-23","PLAINS","KS","PLAINS MUNI","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","30000","25000","320",""
"20230721010199A","21-JUL-23","ROANOKE","VA","ROANOKE RGNL/WOODRUM FIELD","","","","","","","","","","","","0","0","","","","","","324","303","44",""
"20230721011869I","21-JUL-23","MIAMI","FL","OPA-LOCKA EXECUTIVE","","","","","","","","","","","","0","0","","","","","","","","",""
"20230721012849A","21-JUL-23","KALISPELL","MT","GLACIER PARK INTL","","","","","","","","","","","","0","0","","","","","","302","28","",""
"20230721013239I","21-JUL-23","","","","","","","","","","","","","","","0","1","","","","","","421","","",""
"20230721014179A","21-JUL-23","MOUNT GILEAD","OH","","","","","","","","","","","","","0","2","","","","","","949","747","9",""
"20230722005749I","22-JUL-23","WATKINS","CO","","","","","","","","","","","","","0","0","","","","","","1061","397","",""
"20230722008889A","22-JUL-23","","IL","","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","1644","","",""
"20230722010729A","22-JUL-23","WINTER HAVEN","FL","WINTER HAVEN'S GILBERT","","","","","","","","","","","","0","0","","","","","","29","29","29",""
"20230722011749I","22-JUL-23","OCEANSIDE","CA","OCEANSIDE MUNI","","","","","","","","","","","","0","0","","","","","","225","56","5",""
"20230722011759I","22-JUL-23","CARLSBAD","CA","","","","","","","","","","","","","0","0","","","","","","31","","",""
"20230722011859I","22-JUL-23","HOMESTEAD","FL","HOMESTEAD GENERAL AVIATION","","","","","","","","","","","","0","0","","","","","","","","",""
"20230722012259I","22-JUL-23","SPRINGER","NM","SAN ANTONIO INTL","","","","","","","","","","","","0","0","","","","","","","7196","",""
"20230722012839A","22-JUL-23","RED LODGE","MT","RED LODGE","","","","","","","","","","","","0","0","","","","","","19252","105","117",""
"20230722013099I","22-JUL-23","FLETCHER","NC","ASHEVILLE RGNL","","","","","","","","","","","","0","0","","","","","","1825","23","16",""
"20230722013249A","22-JUL-23","","WI","","","","","","","","","","","","","0","0","","","","","","1395","1326","28",""
"20230722016539I","22-JUL-23","HURON","SD","HURON RGNL","","","","","","","","","","","","0","0","","","","","","386","1","3",""
"20230722017809A","22-JUL-23","WALLIS","TX","GHSA-WALLIS GLIDEPORT","","","","","","","","","","","","0","0","","","","","","5000","","",""
"20230722018499A","22-JUL-23","HOUSTON","TX","WEST HOUSTON","","","","","","","","","","","","1","0","","","","","","","120","",""
"20230722018909I","22-JUL-23","LAKE CHARLES","LA","LAKE CHARLES RGNL","","","","","","","CHAMPLAIN ENTERPRISES INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20230722020959A","22-JUL-23","HOUSTON","TX","GEORGE BUSH INTERCONTINENTAL/HOUSTON","","","","","","","SKYWEST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20230723009319I","23-JUL-23","APPLETON","WI","OUTAGAMIE COUNTY RGNL","","","","","","","","","","","","0","0","","","","","","","","",""
"20230723010099A","23-JUL-23","GEORGETOWN","TX","GEORGETOWN MUNI","","","","","","","","","","","","0","3","","","","","","4805","1203","22",""
"20230723010369A","23-JUL-23","GUILFORD","CT","","","","","","","","","","","","","0","1","","","","","","2328","61","21",""
"20230723010949I","23-JUL-23","VINEYARD HAVEN","MA","KATAMA AIRPARK","","","","","","","","","","","","0","0","","","","","","483","315","16",""
"20230723012589I","23-JUL-23","OAKFIELD","WI","","","","","","","","","","","","","0","0","","","","","","","","",""
"20230723012599I","23-JUL-23","OSHKOSH","WI","WITTMAN RGNL","","","","","","","","","","","","0","0","","","","","","","","",""
"20230723013089I","23-JUL-23","BRANDY STATION","VA","CULPEPER RGNL","","","","","","","","","","","","0","0","","","","","","50","40","20",""
"20230723013949A","23-JUL-23","STOW","MA","MINUTE MAN AIR FIELD","","","","","","","","","","","","0","0","","","","","","234","","",""
"20230723017859I","23-JUL-23","BLAIRSTOWN","NJ","BLAIRSTOWN","","","","","","","","","","","","0","0","","","","","","620","","",""
"20230723020759A","23-JUL-23","CALDWELL","OH","","","","","","","","SKY AVIATION","","ROTORCRAFT EXTERNAL LOAD OPERATIONS","","","0","0","","","","","","5674","","",""
"20230723022009I","23-JUL-23","HILLSBORO","OR","STARK'S TWIN OAKS AIRPARK","","","","","","","","","","","","0","0","","","","","","2716","1293","11",""
"20230724011079I","24-JUL-23","ROSEBURG","OR","ROSEBURG RGNL","","","","","","","","","","","","0","0","","","","","","1202","1102","1",""
"20230724012269A","24-JUL-23","NEW LONDON","NC","STANLY COUNTY","","","","","","","PRESSLEY AVIATION","","PILOT SCHOOLS","","","0","1","","","","","","661","","",""
"20230724012579I","24-JUL-23","LEXINGTON","NC","DAVIDSON COUNTY","","","","","","","","","","","","0","0","","","","","","4100","339","77",""
"20230724015569I","24-JUL-23","HOUSTON","TX","ELLINGTON FIELD","","","","","","","","","","","","0","0","","","","","","","","",""
"20230724021209A","24-JUL-23","PITTSBURGH","PA","PITTSBURGH INTL","","","","","","","SOUTHWEST AIRLINES CO","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20230725006629I","25-JUL-23","ELMIRA","NY","","","","","","","","","","FOREIGN AIR CARRIER","","","0","2","","","","","","","","",""
"20230725006709I","25-JUL-23","","TX","JACK BROOKS RGNL","","","","","","","","","","","","0","0","","","","","","874","","",""
"20230725008079I","25-JUL-23","PHILADELPHIA","PA","NORTHEAST PHILADELPHIA","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","50","50","20",""
"20230725008959I","25-JUL-23","","FL","FORT LAUDERDALE EXECUTIVE","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","","","",""
"20230725009259I","25-JUL-23","CHARLESTON","WV","","","","","","","","","","","","","0","0","","","","","","","","",""
"20230725009879A","25-JUL-23","POINT BAKER","AK","","","","","","","","","","","","","0","0","","","","","","3700","1500","250",""
"20230725012099A","25-JUL-23","OSHKOSH","WI","WITTMAN RGNL","","","","","","","","","","","","0","1","","","","","","213","1","",""
"20230725012309A","25-JUL-23","CLARA CITY","MN","","","","","","","","","","AGRICULTURAL","","","1","0","","","","","","930","117","142",""
"20230725021809A","25-JUL-23","CHURCHVILLE","MD","HARFORD COUNTY","","","","","","","","","","","","1","0","","","","","","","","",""
"20230726008029A","26-JUL-23","CHARLES CITY","IA","","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","2000","1150","200",""
"20230726008039A","26-JUL-23","HANLONTOWN","IA","","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","516","148","116",""
"20230726009309I","26-JUL-23","BRANDY STATION","VA","CULPEPER RGNL","","","","","","","","","","","","0","0","","","","","","630","","",""
"20230726010719I","26-JUL-23","GROVE CITY","PA","GROVE CITY","","","","","","","","","","","","0","0","","","","","","4200","16","77",""
"20230726014739A","26-JUL-23","CHATTANOOGA","TN","LOVELL FIELD","","","","","","","","","","","","0","1","","","","","","1041","","",""
"20230726015509A","26-JUL-23","","WA","ORCAS ISLAND","","","","","","","","","","","","0","1","","","","","","154","","",""
"20230727008839I","27-JUL-23","NEW YORK","NY","NEW YORK SKYPORTS INC","","","","","","","","","","","","0","0","","","","","","1350","","",""
"20230727012809A","27-JUL-23","GREEN LAKE","WI","","","","","","","","","","","","","0","2","","","","","","1050","500","25",""
"20230727012959A","27-JUL-23","KNOXVILLE","TN","KNOXVILLE DOWNTOWN ISLAND","","","","","","","","","","","","0","0","","","","","","912","","",""
"20230727013509A","27-JUL-23","CORTLAND","IL","","","","","","","","","","","","","0","0","","","","","","","","",""
"20230727015679A","27-JUL-23","MAIDEN","NC","LANEYS","","","","","","","","","","","","0","2","","","","","","883","121","196",""
"20230727020939A","27-JUL-23","FRIDAY HARBOR","WA","FRIDAY HARBOR","","","","","","","","","","","","0","0","","","","","","","","",""
"20230728008879A","28-JUL-23","TYLER","MN","TYLER MUNI","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","1126","700","100",""
"20230728009499I","28-JUL-23","SUSANVILLE","CA","SPAULDING","","","","","","","","","","","","0","0","","","","","","2090","390","7",""
"20230728011189A","28-JUL-23","GLENDIVE","MT","DAWSON COMMUNITY","","","","","","","","","","","","1","0","","","","","","","","",""
"20230728013689A","28-JUL-23","DUNE CITY","OR","","","","","","","","","","","","","0","1","","","","","","","","",""
"20230728020089I","28-JUL-23","","MO","","","","","","","","","","","","","0","0","","","","","","","","",""
"20230729006619I","29-JUL-23","HAMPTON","NH","HAMPTON AIRFIELD","","","","","","","","","","","","0","1","","","","","","430","","",""
"20230729008049A","29-JUL-23","ALTA","IA","","","","","","","","BARTS FLYING SERVICE","","AGRICULTURAL","","","0","0","","","","","","6600","3000","60",""
"20230729009619A","29-JUL-23","BUHL","ID","BUHL MUNI","","","","","","","","","","","","0","0","","","","","","2500","75","30",""
"20230729009792A","29-JUL-23","OSHKOSH","WI","WITTMAN RGNL","","","","","","","","","","","","2","0","","","","","","","","",""
"20230729009802A","29-JUL-23","OSHKOSH","WI","WITTMAN RGNL","","","","","","","","","","","","0","0","","","","","","600","500","",""
"20230729011119I","29-JUL-23","LOGANVILLE","WI","","","","","","","","","","","","","0","0","","","","","","","","",""
"20230729012009I","29-JUL-23","DESTIN","FL","DESTIN-FORT WALTON BEACH","","","","","","","","","","","","0","0","","","","","","1600","","",""
"20230729012869A","29-JUL-23","ETNA","AR","SERATT","","","","","","","","","","","","0","0","","","","","","150","","",""
"20230729013679A","29-JUL-23","OSHKOSH","WI","WITTMAN RGNL","","","","","","","","","","","","2","0","","","","","","","76","",""
"20230729016109A","29-JUL-23","SPRINGFIELD","OH","SPRINGFIELD-BECKLEY MUNI","","","","","","","","","AGRICULTURAL","","","1","0","","","","","","","","",""
"20230729017229A","29-JUL-23","","WA","","","","","","","","","","","","","0","1","","","","","","4777","2500","15",""
"20230729018409A","29-JUL-23","HOUSTON","TX","GEORGE BUSH INTERCONTINENTAL/HOUSTON","","","","","","","UNITED AIR LINES INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","129","129",""
"20230729022259A","29-JUL-23","GILLETTE","WY","GILLETTE-CAMPBELL COUNTY","","","","","","","","","","","","0","0","","","","","","","","",""
"20230730010709A","30-JUL-23","UPLAND","CA","CABLE","","","","","","","","","","","","3","0","","","","","","","","",""
"20230730011999A","30-JUL-23","LACONIA","NH","LACONIA MUNI","","","","","","","","","","","","0","1","","","","","","20930","946","19",""
"20230730012439A","30-JUL-23","BLANCHARD","ID","","","","","","","","","","","","","0","0","","","","","","1470","208","",""
"20230730012629I","30-JUL-23","WOLFEBORO","NH","MOUNTAIN VIEW FIELD","","","","","","","","","","","","0","0","","","","","","","60","25",""
"20230730012769A","30-JUL-23","COOLIN","ID","CAVANAUGH BAY","","","","","","","","","","","","0","2","","","","","","108","9","3",""
"20230730013369A","30-JUL-23","DELOIT","IA","","","","","","","","","","AGRICULTURAL","","","1","0","","","","","","","","",""
"20230730013819A","30-JUL-23","WINSTED","MN","WINSTED MUNI","","","","","","","","","","","","0","0","","","","","","585","","",""
"20230730017109A","30-JUL-23","CASCADE","ID","CABIN CREEK USFS","","","","","","","","","","","","1","0","","","","","","620","470","",""
"20230730017449A","30-JUL-23","RAVENSDALE","WA","","","","","","","","","","","","","0","0","","","","","","","","",""
"20230731008939A","31-JUL-23","MYRTLE BEACH","SC","","","","","","","","","","","","","0","1","","","","","","3400","3100","400",""
"20230731009249I","31-JUL-23","PALM BAY","FL","","","","","","","","","","","","","0","0","","","","","","3000","100","5",""
"20230731010519A","31-JUL-23","ARCOLA","IL","TUSCOLA","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","400","8","27",""
"20230731013079I","31-JUL-23","BEAUFORT","SC","BEAUFORT COUNTY","","","","","","","","","","","","0","0","","","","","","315","6","76",""
"20230731013299A","31-JUL-23","RICHLAND","NE","","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","86","86","86",""
"20230731013589A","31-JUL-23","RENTON","WA","RENTON MUNI","","","","","","","","","","","","0","1","","","","","","1077","","",""
"20230731014299A","31-JUL-23","OAKDALE","IL","","","","","","","","","","AGRICULTURAL","","","1","0","","","","","","7940","","",""
"20230731014649I","31-JUL-23","SALISBURY","NC","ROWAN COUNTY","","","","","","","","","","","","0","0","","","","","","432","","",""
"20230731021799A","31-JUL-23","SHERMAN","TX","SHERMAN MUNI","","","","","","","","","","","","0","0","","","","","","286","170","30",""
"20230801006589I","01-AUG-23","PAXSON","AK","","","","","","","","BERING AIR","","","","","0","0","","","","","","3750","2000","",""
"20230801008179A","01-AUG-23","NORTH CHARLESTON","SC","CHARLESTON AFB/INTL","","","","","","","","","","","","0","1","","","","","","3743","","",""
"20230801008219I","01-AUG-23","AUSTIN","TX","AUSTIN-BERGSTROM INTL","","","","","","","","","","","","0","0","","","","","","9291","","",""
"20230801010289I","01-AUG-23","NORTH MYRTLE BEACH","SC","GRAND STRAND","","","","","","","","","","","","0","0","","","","","","700","","",""
"20230801012669I","01-AUG-23","MIDDLETON","ID","","","","","","","","","","","","","0","0","","","","","","527","","",""
"20230801014469A","01-AUG-23","SCOTTSBURG","IN","SCOTTSBURG","","","","","","","","","","","","0","0","","","","","","","","",""
"20230801014639I","01-AUG-23","SAINT JACOB","IL","ST LOUIS METRO-EAST/SHAFER FIELD","","","","","","","","","","","","0","0","","","","","","3500","","",""
"20230801015929A","01-AUG-23","PALMER","AK","HIGH RIDGE ASSOCIATION","","","","","","","","","","","","0","0","","","","","","12000","160","",""
"20230801017022I","01-AUG-23","LONG BEACH","CA","LONG BEACH /DAUGHERTY FIELD/","","","","","","","","","","","","0","0","","","","","","1036","197","80",""
"20230801019239I","01-AUG-23","LOUISVILLE","KY","BOWMAN FIELD","","","","","","","","","","","","0","0","","","","","","15000","","",""
